21:51:54: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
21:52:06: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
21:52:06: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:06: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
21:52:06: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:07: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (2.4, 2.4, 0.08) m/s
21:52:07: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:07: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
21:52:07: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:08: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
21:52:08: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:08: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142) m/s
21:52:08: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:09: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
21:52:09: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
21:52:09: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
21:52:09: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 133] Adjust drone yaw.
